,track_name,song_id,artist_name,artist_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,cluster
11551,Tiempo al Viento,4oecM7GjZJPCAWrsFqdXdh,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.665,0.737,9,-9.035,1,0.0619,0.261,0.0016,0.0849,0.364,145.032,spotify:track:4oecM7GjZJPCAWrsFqdXdh,https://api.spotify.com/v1/tracks/4oecM7GjZJPCAWrsFqdXdh,https://api.spotify.com/v1/audio-analysis/4oecM7GjZJPCAWrsFqdXdh,289107,4,8
11552,男人KTV,7mSYvPacUBETLmiWj3dgau,Tiger Hu,3PpIzdLny8HwTnKp9joXdj,0.37,0.477,1,-7.403,1,0.0314,0.462,0.0,0.114,0.232,143.51,spotify:track:7mSYvPacUBETLmiWj3dgau,https://api.spotify.com/v1/tracks/7mSYvPacUBETLmiWj3dgau,https://api.spotify.com/v1/audio-analysis/7mSYvPacUBETLmiWj3dgau,291453,4,7
11553,Niño Hojas,51G7xp1CI30S71zsjRoL8D,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.642,0.259,0,-9.454,1,0.0266,0.951,0.000205,0.0753,0.377,75.937,spotify:track:51G7xp1CI30S71zsjRoL8D,https://api.spotify.com/v1/tracks/51G7xp1CI30S71zsjRoL8D,https://api.spotify.com/v1/audio-analysis/51G7xp1CI30S71zsjRoL8D,169027,3,3
11554,Hora de Compartir,77zSxbbGJUASjdPgR6lWIl,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.695,0.355,0,-10.713,1,0.038,0.212,0.0,0.308,0.157,126.075,spotify:track:77zSxbbGJUASjdPgR6lWIl,https://api.spotify.com/v1/tracks/77zSxbbGJUASjdPgR6lWIl,https://api.spotify.com/v1/audio-analysis/77zSxbbGJUASjdPgR6lWIl,224987,4,7
11555,,0AdHrRXgFOGXoSssCtaqj0,,0LyfQWJT6nXafLPZqxe9Of,0.579,0.349,5,-7.082,0,0.0277,0.943,0.0,0.111,0.374,126.503,spotify:track:0AdHrRXgFOGXoSssCtaqj0,https://api.spotify.com/v1/tracks/0AdHrRXgFOGXoSssCtaqj0,https://api.spotify.com/v1/audio-analysis/0AdHrRXgFOGXoSssCtaqj0,239752,4,7
11556,狐,6GU1v7VHYAeqlyA3swYEAr,Hins Cheung,2MVfNjocvNrE03cQuxpsWK,0.499,0.586,2,-4.965,0,0.0297,0.102,0.0,0.231,0.254,136.895,spotify:track:6GU1v7VHYAeqlyA3swYEAr,https://api.spotify.com/v1/tracks/6GU1v7VHYAeqlyA3swYEAr,https://api.spotify.com/v1/audio-analysis/6GU1v7VHYAeqlyA3swYEAr,192440,4,8
11557,David Danced (Let the Heavens Be Glad),5VvHfIDuV549i1V3HJSGr2,Joshua Aaron,7hR5qFME3Zu6i775XdrKEv,0.304,0.698,7,-4.743,0,0.0453,0.0722,0.0,0.162,0.301,112.101,spotify:track:5VvHfIDuV549i1V3HJSGr2,https://api.spotify.com/v1/tracks/5VvHfIDuV549i1V3HJSGr2,https://api.spotify.com/v1/audio-analysis/5VvHfIDuV549i1V3HJSGr2,277250,4,8
11558,Sigh,4Lnh3MyActNDrFVnoNen8Y,Hu Ge,565IvROag6e9RoQoC7a5tj,0.725,0.525,4,-7.728,1,0.0292,0.738,7.4e-05,0.11,0.354,144.023,spotify:track:4Lnh3MyActNDrFVnoNen8Y,https://api.spotify.com/v1/tracks/4Lnh3MyActNDrFVnoNen8Y,https://api.spotify.com/v1/audio-analysis/4Lnh3MyActNDrFVnoNen8Y,313520,4,7
11559,紅蝴蝶,2bR2gdYWa8XrpVHJnDhKWw,Leslie Cheung,2g0QLUYku8AuPVK2udRV7i,0.5,0.274,5,-15.078,0,0.0334,0.916,0.0822,0.133,0.227,151.763,spotify:track:2bR2gdYWa8XrpVHJnDhKWw,https://api.spotify.com/v1/tracks/2bR2gdYWa8XrpVHJnDhKWw,https://api.spotify.com/v1/audio-analysis/2bR2gdYWa8XrpVHJnDhKWw,204493,4,7
11560,Hu Elokeinu,7bhTkeBMJiiqwlzVt7OpY2,Eitan Katz,6oDsYfBJxdK445B8xXyR8o,0.429,0.323,2,-8.649,0,0.0279,0.846,2.39e-05,0.107,0.21,130.096,spotify:track:7bhTkeBMJiiqwlzVt7OpY2,https://api.spotify.com/v1/tracks/7bhTkeBMJiiqwlzVt7OpY2,https://api.spotify.com/v1/audio-analysis/7bhTkeBMJiiqwlzVt7OpY2,333640,4,7
11561,Siempre Prisa,0JZHyor2czO9VXWxg6OOG4,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.542,0.148,0,-10.16,1,0.03,0.883,0.00094,0.596,0.182,80.028,spotify:track:0JZHyor2czO9VXWxg6OOG4,https://api.spotify.com/v1/tracks/0JZHyor2czO9VXWxg6OOG4,https://api.spotify.com/v1/audio-analysis/0JZHyor2czO9VXWxg6OOG4,293680,4,7
11562,Un Lugar para Renacer,7nCTtbCQIXCrCQTCeNZV20,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.357,0.223,8,-11.58,1,0.0343,0.955,0.00248,0.159,0.204,178.413,spotify:track:7nCTtbCQIXCrCQTCeNZV20,https://api.spotify.com/v1/tracks/7nCTtbCQIXCrCQTCeNZV20,https://api.spotify.com/v1/audio-analysis/7nCTtbCQIXCrCQTCeNZV20,269667,4,7
11563,心跳呼吸正常,0DcNi2tF8jWNjgXFGbq0rx,Leslie Cheung,2g0QLUYku8AuPVK2udRV7i,0.468,0.45,0,-10.177,1,0.0284,0.689,0.00156,0.104,0.241,119.765,spotify:track:0DcNi2tF8jWNjgXFGbq0rx,https://api.spotify.com/v1/tracks/0DcNi2tF8jWNjgXFGbq0rx,https://api.spotify.com/v1/audio-analysis/0DcNi2tF8jWNjgXFGbq0rx,265227,4,7
11564,還魂門 (電視劇《老九門》主題曲),6H2Vs2PeXh9uDCFFWgtV2r,Tiger Hu,3PpIzdLny8HwTnKp9joXdj,0.438,0.393,4,-9.546,0,0.0272,0.0612,3.1e-05,0.12,0.201,133.985,spotify:track:6H2Vs2PeXh9uDCFFWgtV2r,https://api.spotify.com/v1/tracks/6H2Vs2PeXh9uDCFFWgtV2r,https://api.spotify.com/v1/audio-analysis/6H2Vs2PeXh9uDCFFWgtV2r,256104,4,8
11565,美好的昨天,2XgvfrF4JUyWTDREbuRQqh,Hu Xia,3iRqbMhzyOyoCkmmMRxLWR,0.401,0.473,2,-6.874,1,0.0321,0.209,0.0,0.145,0.299,141.552,spotify:track:2XgvfrF4JUyWTDREbuRQqh,https://api.spotify.com/v1/tracks/2XgvfrF4JUyWTDREbuRQqh,https://api.spotify.com/v1/audio-analysis/2XgvfrF4JUyWTDREbuRQqh,245973,4,8
11566,Being Honest,1DLiOWMjT5TpC3vYj8Fi2s,Magnum P.I.,0qAzZuWUTFrgksp8a9AWER,0.604,0.484,6,-9.291,0,0.307,0.00565,0.0,0.77,0.266,70.196,spotify:track:1DLiOWMjT5TpC3vYj8Fi2s,https://api.spotify.com/v1/tracks/1DLiOWMjT5TpC3vYj8Fi2s,https://api.spotify.com/v1/audio-analysis/1DLiOWMjT5TpC3vYj8Fi2s,192726,4,4
11567,Running Too Fast,0wJ2gcWvYYPaJQFtzo2nbe,Natalia Lafourcade,1hcdI2N1023RvSwLzTtdsp,0.683,0.114,4,-14.881,0,0.051,0.935,1.01e-05,0.275,0.243,132.853,spotify:track:0wJ2gcWvYYPaJQFtzo2nbe,https://api.spotify.com/v1/tracks/0wJ2gcWvYYPaJQFtzo2nbe,https://api.spotify.com/v1/audio-analysis/0wJ2gcWvYYPaJQFtzo2nbe,175467,4,7
11568,He's Coming Again,0bMmxJzLmZxkm5AhYtQXdx,Joshua Aaron,7hR5qFME3Zu6i775XdrKEv,0.286,0.662,2,-4.782,1,0.0382,0.251,0.0,0.223,0.489,184.335,spotify:track:0bMmxJzLmZxkm5AhYtQXdx,https://api.spotify.com/v1/tracks/0bMmxJzLmZxkm5AhYtQXdx,https://api.spotify.com/v1/audio-analysis/0bMmxJzLmZxkm5AhYtQXdx,219750,4,8
11569,一吻天荒,6fim86rMVmWNHKwKm48DKB,胡歌,04T9gfyccsmxG79OSJp5r1,0.392,0.732,4,-6.251,0,0.0514,0.192,0.0,0.134,0.599,171.989,spotify:track:6fim86rMVmWNHKwKm48DKB,https://api.spotify.com/v1/tracks/6fim86rMVmWNHKwKm48DKB,https://api.spotify.com/v1/audio-analysis/6fim86rMVmWNHKwKm48DKB,250006,4,8
11570,勉強,3MMJw13cPo3E5ni0qmip4I,Hu Xia,3iRqbMhzyOyoCkmmMRxLWR,0.571,0.522,10,-7.404,0,0.0256,0.0706,2.68e-06,0.0949,0.351,143.034,spotify:track:3MMJw13cPo3E5ni0qmip4I,https://api.spotify.com/v1/tracks/3MMJw13cPo3E5ni0qmip4I,https://api.spotify.com/v1/audio-analysis/3MMJw13cPo3E5ni0qmip4I,283933,4,1
11571,Hu Chant,4F2taQKbp4GjmTyOkUryPG,Valerie Walsh,4QaxgOps7VPrcHhOpS8Klh,0.136,0.124,5,-22.579,0,0.043,0.994,0.956,0.124,0.0356,97.568,spotify:track:4F2taQKbp4GjmTyOkUryPG,https://api.spotify.com/v1/tracks/4F2taQKbp4GjmTyOkUryPG,https://api.spotify.com/v1/audio-analysis/4F2taQKbp4GjmTyOkUryPG,1160690,3,6
11572,Im Hu Yelech,39CLcN436jbM5vB5Q5DcQR,Harel Skaat,3kZ7g7lW0eeBtoNxtw6zZY,0.418,0.428,9,-7.978,1,0.0257,0.115,0.0,0.237,0.282,78.994,spotify:track:39CLcN436jbM5vB5Q5DcQR,https://api.spotify.com/v1/tracks/39CLcN436jbM5vB5Q5DcQR,https://api.spotify.com/v1/audio-analysis/39CLcN436jbM5vB5Q5DcQR,220560,4,7
11573,Blobfish,0YtQVibEZJ5IPYw6dm0nFJ,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,0.523,0.536,8,-7.367,1,0.211,0.681,0.0,0.249,0.622,138.507,spotify:track:0YtQVibEZJ5IPYw6dm0nFJ,https://api.spotify.com/v1/tracks/0YtQVibEZJ5IPYw6dm0nFJ,https://api.spotify.com/v1/audio-analysis/0YtQVibEZJ5IPYw6dm0nFJ,57601,4,5
11574,Blobfish,0YtQVibEZJ5IPYw6dm0nFJ,Madison Hu,612BRdnZhqoymH42utLvA7,0.523,0.536,8,-7.367,1,0.211,0.681,0.0,0.249,0.622,138.507,spotify:track:0YtQVibEZJ5IPYw6dm0nFJ,https://api.spotify.com/v1/tracks/0YtQVibEZJ5IPYw6dm0nFJ,https://api.spotify.com/v1/audio-analysis/0YtQVibEZJ5IPYw6dm0nFJ,57601,4,5
11575,讓我愛你,10KMI6n4AWsew5c3RaQvgP,Hu Xia,3iRqbMhzyOyoCkmmMRxLWR,0.421,0.442,4,-8.209,1,0.0328,0.561,0.0,0.126,0.273,141.488,spotify:track:10KMI6n4AWsew5c3RaQvgP,https://api.spotify.com/v1/tracks/10KMI6n4AWsew5c3RaQvgP,https://api.spotify.com/v1/audio-analysis/10KMI6n4AWsew5c3RaQvgP,230960,4,7
